start_time,end_time,time_range,search_name,alert,duration_values,duration,cpu,read_count,write_count,read_bytes,write_bytes,memory_mb
04/01/2025:00:00:00,04/03/2025:00:00:00,"(Timestamp('2025-04-01 00:00:00'), Timestamp('2025-04-03 00:00:00'))",Non Chrome Process Accessing Chrome Default Dir,0,,33.482,5.890000000000001,66339.0,548.0,265621504.0,757760.0,26.83984375
04/01/2025:00:00:00,04/03/2025:00:00:00,"(Timestamp('2025-04-01 00:00:00'), Timestamp('2025-04-03 00:00:00'))",Windows AD Replication Request Initiated from Unsanctioned Location,0,,50.516,9.69,139434.0,809.0,577605632.0,1298432.0,36.09375
04/01/2025:00:00:00,04/03/2025:00:00:00,"(Timestamp('2025-04-01 00:00:00'), Timestamp('2025-04-03 00:00:00'))",Windows Event For Service Disabled,1,,34.527,6.59,72946.0,684.0,383197184.0,901120.0,46.46484375
12/24/2024:00:00:00,12/26/2024:00:00:00,"(Timestamp('2024-12-24 00:00:00'), Timestamp('2024-12-26 00:00:00'))",Clop Ransomware Known Service Name,0,,26.397,2.28,19096.0,396.0,132960256.0,593920.0,16.75
12/24/2024:00:00:00,12/26/2024:00:00:00,"(Timestamp('2024-12-24 00:00:00'), Timestamp('2024-12-26 00:00:00'))",Detect New Local Admin account,0,,29.624,3.49,82894.0,343.0,152866816.0,724992.0,4.78125
12/24/2024:00:00:00,12/26/2024:00:00:00,"(Timestamp('2024-12-24 00:00:00'), Timestamp('2024-12-26 00:00:00'))",ESCU Network Share Discovery Via Dir Command Rule,0,,31.683,5.76,66121.0,449.0,241336320.0,765952.0,17.06640625
12/24/2024:00:00:00,12/26/2024:00:00:00,"(Timestamp('2024-12-24 00:00:00'), Timestamp('2024-12-26 00:00:00'))",ESCU Windows Rapid Authentication On Multiple Hosts Rule,0,,29.427,4.92,42434.0,401.0,196243456.0,651264.0,17.78515625
12/24/2024:00:00:00,12/26/2024:00:00:00,"(Timestamp('2024-12-24 00:00:00'), Timestamp('2024-12-26 00:00:00'))",Kerberoasting spn request with RC4 encryption,0,,28.614,3.6,50646.0,527.0,155090944.0,700416.0,23.53515625
12/24/2024:00:00:00,12/26/2024:00:00:00,"(Timestamp('2024-12-24 00:00:00'), Timestamp('2024-12-26 00:00:00'))",Known Services Killed by Ransomware,0,,26.972,4.79,36376.0,521.0,187871232.0,774144.0,23.39453125
12/24/2024:00:00:00,12/26/2024:00:00:00,"(Timestamp('2024-12-24 00:00:00'), Timestamp('2024-12-26 00:00:00'))",Non Chrome Process Accessing Chrome Default Dir,0,,31.141,4.98,61014.0,471.0,208609280.0,708608.0,22.11328125
12/24/2024:00:00:00,12/26/2024:00:00:00,"(Timestamp('2024-12-24 00:00:00'), Timestamp('2024-12-26 00:00:00'))",Windows AD Replication Request Initiated from Unsanctioned Location,0,,45.712,13.3,148663.0,502.0,517431296.0,1007616.0,20.5859375
12/24/2024:00:00:00,12/26/2024:00:00:00,"(Timestamp('2024-12-24 00:00:00'), Timestamp('2024-12-26 00:00:00'))",Windows Event For Service Disabled,1,,29.139,6.17,55333.0,529.0,274927616.0,671744.0,36.71875
02/04/2025:16:00:00,02/06/2025:16:00:00,"(Timestamp('2025-02-04 16:00:00'), Timestamp('2025-02-06 16:00:00'))",Clop Ransomware Known Service Name,0,,30.446,2.81,30580.0,672.0,209715200.0,778240.0,8.66796875
02/04/2025:16:00:00,02/06/2025:16:00:00,"(Timestamp('2025-02-04 16:00:00'), Timestamp('2025-02-06 16:00:00'))",Detect New Local Admin account,0,,37.046,5.12,105490.0,425.0,268034048.0,806912.0,27.34765625
02/04/2025:16:00:00,02/06/2025:16:00:00,"(Timestamp('2025-02-04 16:00:00'), Timestamp('2025-02-06 16:00:00'))",ESCU Network Share Discovery Via Dir Command Rule,0,,43.037,7.33,89915.0,561.0,408023040.0,962560.0,22.9765625
02/04/2025:16:00:00,02/06/2025:16:00:00,"(Timestamp('2025-02-04 16:00:00'), Timestamp('2025-02-06 16:00:00'))",ESCU Windows Rapid Authentication On Multiple Hosts Rule,0,,44.347,12.37,71756.0,814.0,378470400.0,1155072.0,47.70703125
02/04/2025:16:00:00,02/06/2025:16:00:00,"(Timestamp('2025-02-04 16:00:00'), Timestamp('2025-02-06 16:00:00'))",Kerberoasting spn request with RC4 encryption,0,,31.682,4.220000000000001,63849.0,573.0,215654400.0,720896.0,25.625
02/04/2025:16:00:00,02/06/2025:16:00:00,"(Timestamp('2025-02-04 16:00:00'), Timestamp('2025-02-06 16:00:00'))",Known Services Killed by Ransomware,3,,38.585,6.5,63317.0,800.0,352305152.0,1179648.0,22.453125
02/04/2025:16:00:00,02/06/2025:16:00:00,"(Timestamp('2025-02-04 16:00:00'), Timestamp('2025-02-06 16:00:00'))",Non Chrome Process Accessing Chrome Default Dir,0,,38.938,5.720000000000001,79052.0,590.0,298405888.0,888832.0,30.91015625
02/04/2025:16:00:00,02/06/2025:16:00:00,"(Timestamp('2025-02-04 16:00:00'), Timestamp('2025-02-06 16:00:00'))",Windows AD Replication Request Initiated from Unsanctioned Location,0,,90.893,19.79,220601.0,719.0,1543634944.0,1986560.0,46.734375
02/04/2025:16:00:00,02/06/2025:16:00:00,"(Timestamp('2025-02-04 16:00:00'), Timestamp('2025-02-06 16:00:00'))",Windows Event For Service Disabled,1,,41.382,8.81,96139.0,839.0,500490240.0,1077248.0,36.3984375
03/13/2025:08:00:00,03/15/2025:08:00:00,"(Timestamp('2025-03-13 08:00:00'), Timestamp('2025-03-15 08:00:00'))",Clop Ransomware Known Service Name,0,,12.642,2.52,26668.0,528.0,85000192.0,397312.0,3.63671875
03/13/2025:08:00:00,03/15/2025:08:00:00,"(Timestamp('2025-03-13 08:00:00'), Timestamp('2025-03-15 08:00:00'))",Detect New Local Admin account,0,,18.126,3.11,48459.0,375.0,97685504.0,417792.0,27.86328125
03/13/2025:08:00:00,03/15/2025:08:00:00,"(Timestamp('2025-03-13 08:00:00'), Timestamp('2025-03-15 08:00:00'))",ESCU Network Share Discovery Via Dir Command Rule,0,,18.164,5.220000000000001,70529.0,616.0,151494656.0,532480.0,8.734375
03/13/2025:08:00:00,03/15/2025:08:00:00,"(Timestamp('2025-03-13 08:00:00'), Timestamp('2025-03-15 08:00:00'))",ESCU Windows Rapid Authentication On Multiple Hosts Rule,0,,27.244,9.97,55728.0,778.0,171851776.0,806912.0,30.1640625
03/13/2025:08:00:00,03/15/2025:08:00:00,"(Timestamp('2025-03-13 08:00:00'), Timestamp('2025-03-15 08:00:00'))",Kerberoasting spn request with RC4 encryption,0,,16.018,3.4,53578.0,503.0,108003328.0,413696.0,21.86328125
03/13/2025:08:00:00,03/15/2025:08:00:00,"(Timestamp('2025-03-13 08:00:00'), Timestamp('2025-03-15 08:00:00'))",Known Services Killed by Ransomware,8,,20.952,4.55,48151.0,544.0,180051968.0,618496.0,33.62890625
03/13/2025:08:00:00,03/15/2025:08:00:00,"(Timestamp('2025-03-13 08:00:00'), Timestamp('2025-03-15 08:00:00'))",Non Chrome Process Accessing Chrome Default Dir,0,,17.51,4.54,62581.0,503.0,169459712.0,434176.0,30.3203125
03/13/2025:08:00:00,03/15/2025:08:00:00,"(Timestamp('2025-03-13 08:00:00'), Timestamp('2025-03-15 08:00:00'))",Windows AD Replication Request Initiated from Unsanctioned Location,0,,33.513,10.76,157395.0,546.0,433614848.0,794624.0,42.546875
03/13/2025:08:00:00,03/15/2025:08:00:00,"(Timestamp('2025-03-13 08:00:00'), Timestamp('2025-03-15 08:00:00'))",Windows Event For Service Disabled,1,,19.863,6.52,75118.0,617.0,266092544.0,516096.0,51.359375
03/01/2025:00:00:00,03/03/2025:00:00:00,"(Timestamp('2025-03-01 00:00:00'), Timestamp('2025-03-03 00:00:00'))",Clop Ransomware Known Service Name,0,,21.475,2.67,28612.0,469.0,167055360.0,507904.0,15.8828125
03/01/2025:00:00:00,03/03/2025:00:00:00,"(Timestamp('2025-03-01 00:00:00'), Timestamp('2025-03-03 00:00:00'))",Detect New Local Admin account,0,,26.327,5.84,108737.0,640.0,142839808.0,651264.0,33.9453125
03/01/2025:00:00:00,03/03/2025:00:00:00,"(Timestamp('2025-03-01 00:00:00'), Timestamp('2025-03-03 00:00:00'))",ESCU Network Share Discovery Via Dir Command Rule,0,,24.226,6.17,79838.0,500.0,180862976.0,573440.0,22.23828125
03/01/2025:00:00:00,03/03/2025:00:00:00,"(Timestamp('2025-03-01 00:00:00'), Timestamp('2025-03-03 00:00:00'))",ESCU Windows Rapid Authentication On Multiple Hosts Rule,0,,38.235,10.7,64291.0,948.0,222044160.0,1048576.0,-39.1171875
03/01/2025:00:00:00,03/03/2025:00:00:00,"(Timestamp('2025-03-01 00:00:00'), Timestamp('2025-03-03 00:00:00'))",Kerberoasting spn request with RC4 encryption,0,,21.527,3.87,60296.0,526.0,139112448.0,520192.0,20.16796875
03/01/2025:00:00:00,03/03/2025:00:00:00,"(Timestamp('2025-03-01 00:00:00'), Timestamp('2025-03-03 00:00:00'))",Known Services Killed by Ransomware,3,,26.145,5.2,54223.0,570.0,181837824.0,745472.0,40.234375
03/01/2025:00:00:00,03/03/2025:00:00:00,"(Timestamp('2025-03-01 00:00:00'), Timestamp('2025-03-03 00:00:00'))",Non Chrome Process Accessing Chrome Default Dir,0,,22.241,5.51,72681.0,682.0,180355072.0,630784.0,-32.109375
03/01/2025:00:00:00,03/03/2025:00:00:00,"(Timestamp('2025-03-01 00:00:00'), Timestamp('2025-03-03 00:00:00'))",Windows AD Replication Request Initiated from Unsanctioned Location,0,,51.213,15.52,185558.0,594.0,826716160.0,1167360.0,38.69921875
03/01/2025:00:00:00,03/03/2025:00:00:00,"(Timestamp('2025-03-01 00:00:00'), Timestamp('2025-03-03 00:00:00'))",Windows Event For Service Disabled,1,,26.484,7.2,83199.0,647.0,252653568.0,716800.0,49.75390625
03/21/2025:20:00:00,03/23/2025:20:00:00,"(Timestamp('2025-03-21 20:00:00'), Timestamp('2025-03-23 20:00:00'))",Clop Ransomware Known Service Name,0,,5.879,2.33,26403.0,379.0,42729472.0,188416.0,16.94140625
03/21/2025:20:00:00,03/23/2025:20:00:00,"(Timestamp('2025-03-21 20:00:00'), Timestamp('2025-03-23 20:00:00'))",Detect New Local Admin account,0,,6.46,2.5500000000000003,44039.0,343.0,44654592.0,176128.0,19.734375
03/21/2025:20:00:00,03/23/2025:20:00:00,"(Timestamp('2025-03-21 20:00:00'), Timestamp('2025-03-23 20:00:00'))",ESCU Network Share Discovery Via Dir Command Rule,0,,7.384,3.5900000000000003,63340.0,423.0,27934720.0,217088.0,17.37109375
03/21/2025:20:00:00,03/23/2025:20:00:00,"(Timestamp('2025-03-21 20:00:00'), Timestamp('2025-03-23 20:00:00'))",ESCU Windows Rapid Authentication On Multiple Hosts Rule,0,,14.377,10.2,51118.0,696.0,91623424.0,409600.0,30.7734375
03/21/2025:20:00:00,03/23/2025:20:00:00,"(Timestamp('2025-03-21 20:00:00'), Timestamp('2025-03-23 20:00:00'))",Kerberoasting spn request with RC4 encryption,0,,5.767,2.76,51146.0,469.0,23461888.0,184320.0,24.36328125
03/21/2025:20:00:00,03/23/2025:20:00:00,"(Timestamp('2025-03-21 20:00:00'), Timestamp('2025-03-23 20:00:00'))",Known Services Killed by Ransomware,3,,8.861,3.98,44689.0,639.0,48476160.0,442368.0,14.44921875
03/21/2025:20:00:00,03/23/2025:20:00:00,"(Timestamp('2025-03-21 20:00:00'), Timestamp('2025-03-23 20:00:00'))",Non Chrome Process Accessing Chrome Default Dir,0,,7.163,3.4800000000000004,57754.0,574.0,26730496.0,315392.0,13.015625
03/21/2025:20:00:00,03/23/2025:20:00:00,"(Timestamp('2025-03-21 20:00:00'), Timestamp('2025-03-23 20:00:00'))",Windows AD Replication Request Initiated from Unsanctioned Location,0,,12.577,7.710000000000001,136593.0,447.0,59748352.0,331776.0,27.8203125
03/21/2025:20:00:00,03/23/2025:20:00:00,"(Timestamp('2025-03-21 20:00:00'), Timestamp('2025-03-23 20:00:00'))",Windows Event For Service Disabled,1,,9.654,5.79,69956.0,520.0,54784000.0,270336.0,27.51953125
01/04/2025:12:00:00,01/06/2025:12:00:00,"(Timestamp('2025-01-04 12:00:00'), Timestamp('2025-01-06 12:00:00'))",Clop Ransomware Known Service Name,0,,56.625,5.180000000000001,47242.0,715.0,1334190080.0,1318912.0,6.6484375
01/04/2025:12:00:00,01/06/2025:12:00:00,"(Timestamp('2025-01-04 12:00:00'), Timestamp('2025-01-06 12:00:00'))",Detect New Local Admin account,0,,71.238,9.67,153043.0,458.0,1232101376.0,1474560.0,20.05078125
01/04/2025:12:00:00,01/06/2025:12:00:00,"(Timestamp('2025-01-04 12:00:00'), Timestamp('2025-01-06 12:00:00'))",ESCU Network Share Discovery Via Dir Command Rule,0,,65.38,14.79,139169.0,580.0,799031296.0,1409024.0,17.03125
01/04/2025:12:00:00,01/06/2025:12:00:00,"(Timestamp('2025-01-04 12:00:00'), Timestamp('2025-01-06 12:00:00'))",ESCU Windows Rapid Authentication On Multiple Hosts Rule,0,,74.243,17.32,105936.0,982.0,1105199104.0,1773568.0,30.70703125
01/04/2025:12:00:00,01/06/2025:12:00:00,"(Timestamp('2025-01-04 12:00:00'), Timestamp('2025-01-06 12:00:00'))",Kerberoasting spn request with RC4 encryption,0,,58.714,9.09,96176.0,651.0,1191792640.0,1347584.0,22.0078125
01/04/2025:12:00:00,01/06/2025:12:00:00,"(Timestamp('2025-01-04 12:00:00'), Timestamp('2025-01-06 12:00:00'))",Known Services Killed by Ransomware,5,,58.083,12.83,97582.0,654.0,748056576.0,1556480.0,26.46875
01/04/2025:12:00:00,01/06/2025:12:00:00,"(Timestamp('2025-01-04 12:00:00'), Timestamp('2025-01-06 12:00:00'))",Non Chrome Process Accessing Chrome Default Dir,0,,65.227,13.489999999999998,128165.0,630.0,780460032.0,1421312.0,23.6953125
01/04/2025:12:00:00,01/06/2025:12:00:00,"(Timestamp('2025-01-04 12:00:00'), Timestamp('2025-01-06 12:00:00'))",Windows AD Replication Request Initiated from Unsanctioned Location,0,,112.618,34.970000000000006,332214.0,755.0,2240835584.0,2408448.0,29.37109375
01/04/2025:12:00:00,01/06/2025:12:00:00,"(Timestamp('2025-01-04 12:00:00'), Timestamp('2025-01-06 12:00:00'))",Windows Event For Service Disabled,1,,64.973,16.97,149620.0,747.0,894996480.0,1495040.0,37.9375
12/17/2024:16:00:00,12/19/2024:16:00:00,"(Timestamp('2024-12-17 16:00:00'), Timestamp('2024-12-19 16:00:00'))",Clop Ransomware Known Service Name,0,,17.027,2.76,20640.0,370.0,140206080.0,405504.0,17.21875
12/17/2024:16:00:00,12/19/2024:16:00:00,"(Timestamp('2024-12-17 16:00:00'), Timestamp('2024-12-19 16:00:00'))",Detect New Local Admin account,0,,22.149,3.73,42579.0,394.0,167981056.0,507904.0,23.80859375
12/17/2024:16:00:00,12/19/2024:16:00:00,"(Timestamp('2024-12-17 16:00:00'), Timestamp('2024-12-19 16:00:00'))",ESCU Network Share Discovery Via Dir Command Rule,0,,40.657,8.07,76811.0,512.0,472633344.0,983040.0,20.94921875
12/17/2024:16:00:00,12/19/2024:16:00:00,"(Timestamp('2024-12-17 16:00:00'), Timestamp('2024-12-19 16:00:00'))",ESCU Windows Rapid Authentication On Multiple Hosts Rule,0,,30.65,6.859999999999999,50840.0,688.0,336039936.0,720896.0,27.0625
12/17/2024:16:00:00,12/19/2024:16:00:00,"(Timestamp('2024-12-17 16:00:00'), Timestamp('2024-12-19 16:00:00'))",Kerberoasting spn request with RC4 encryption,0,,23.342,4.53,54499.0,475.0,158855168.0,548864.0,22.47265625
12/17/2024:16:00:00,12/19/2024:16:00:00,"(Timestamp('2024-12-17 16:00:00'), Timestamp('2024-12-19 16:00:00'))",Known Services Killed by Ransomware,0,,25.447,6.029999999999999,42700.0,478.0,289800192.0,692224.0,25.6171875
12/17/2024:16:00:00,12/19/2024:16:00:00,"(Timestamp('2024-12-17 16:00:00'), Timestamp('2024-12-19 16:00:00'))",Non Chrome Process Accessing Chrome Default Dir,0,,36.23,6.86,69732.0,509.0,359624704.0,819200.0,29.6796875
12/17/2024:16:00:00,12/19/2024:16:00:00,"(Timestamp('2024-12-17 16:00:00'), Timestamp('2024-12-19 16:00:00'))",Windows AD Replication Request Initiated from Unsanctioned Location,0,,72.473,20.09,183976.0,601.0,1598087168.0,1593344.0,45.47265625
12/17/2024:16:00:00,12/19/2024:16:00:00,"(Timestamp('2024-12-17 16:00:00'), Timestamp('2024-12-19 16:00:00'))",Windows Event For Service Disabled,2,,27.945,7.56,60911.0,562.0,371560448.0,679936.0,43.8828125
01/26/2025:04:00:00,01/28/2025:04:00:00,"(Timestamp('2025-01-26 04:00:00'), Timestamp('2025-01-28 04:00:00'))",Clop Ransomware Known Service Name,0,,28.739,3.2,33246.0,675.0,241156096.0,753664.0,6.53125
01/26/2025:04:00:00,01/28/2025:04:00:00,"(Timestamp('2025-01-26 04:00:00'), Timestamp('2025-01-28 04:00:00'))",Detect New Local Admin account,0,,34.483000000000004,5.98,112286.0,409.0,250314752.0,733184.0,19.93359375
01/26/2025:04:00:00,01/28/2025:04:00:00,"(Timestamp('2025-01-26 04:00:00'), Timestamp('2025-01-28 04:00:00'))",ESCU Network Share Discovery Via Dir Command Rule,0,,38.059,8.57,98027.0,542.0,508841984.0,847872.0,18.125
01/26/2025:04:00:00,01/28/2025:04:00:00,"(Timestamp('2025-01-26 04:00:00'), Timestamp('2025-01-28 04:00:00'))",ESCU Windows Rapid Authentication On Multiple Hosts Rule,0,,38.13,12.82,75635.0,798.0,376999936.0,933888.0,40.14453125
01/26/2025:04:00:00,01/28/2025:04:00:00,"(Timestamp('2025-01-26 04:00:00'), Timestamp('2025-01-28 04:00:00'))",Kerberoasting spn request with RC4 encryption,0,,31.079,4.859999999999999,69532.0,564.0,273936384.0,708608.0,23.30859375
01/26/2025:04:00:00,01/28/2025:04:00:00,"(Timestamp('2025-01-26 04:00:00'), Timestamp('2025-01-28 04:00:00'))",Known Services Killed by Ransomware,3,,34.881,6.67,65892.0,626.0,350572544.0,958464.0,27.80078125
01/26/2025:04:00:00,01/28/2025:04:00:00,"(Timestamp('2025-01-26 04:00:00'), Timestamp('2025-01-28 04:00:00'))",Non Chrome Process Accessing Chrome Default Dir,0,,32.598,6.619999999999999,87558.0,580.0,302977024.0,757760.0,26.0078125
01/26/2025:04:00:00,01/28/2025:04:00:00,"(Timestamp('2025-01-26 04:00:00'), Timestamp('2025-01-28 04:00:00'))",Windows AD Replication Request Initiated from Unsanctioned Location,0,,77.59100000000001,24.34,251436.0,689.0,1890852864.0,1720320.0,38.09375
01/26/2025:04:00:00,01/28/2025:04:00:00,"(Timestamp('2025-01-26 04:00:00'), Timestamp('2025-01-28 04:00:00'))",Windows Event For Service Disabled,68,,36.551,8.76,97599.0,681.0,515510272.0,921600.0,42.5625
12/27/2024:20:00:00,12/29/2024:20:00:00,"(Timestamp('2024-12-27 20:00:00'), Timestamp('2024-12-29 20:00:00'))",Clop Ransomware Known Service Name,0,,14.71,2.37,19115.0,419.0,104550400.0,356352.0,18.41015625
12/27/2024:20:00:00,12/29/2024:20:00:00,"(Timestamp('2024-12-27 20:00:00'), Timestamp('2024-12-29 20:00:00'))",Detect New Local Admin account,0,,24.213,4.81,137443.0,801.0,135667712.0,724992.0,10.51171875
12/27/2024:20:00:00,12/29/2024:20:00:00,"(Timestamp('2024-12-27 20:00:00'), Timestamp('2024-12-29 20:00:00'))",ESCU Network Share Discovery Via Dir Command Rule,0,,26.722,5.35,70187.0,460.0,242835456.0,630784.0,20.29296875
12/27/2024:20:00:00,12/29/2024:20:00:00,"(Timestamp('2024-12-27 20:00:00'), Timestamp('2024-12-29 20:00:00'))",ESCU Windows Rapid Authentication On Multiple Hosts Rule,0,,27.777,8.38,46119.0,707.0,245473280.0,712704.0,29.55859375
12/27/2024:20:00:00,12/29/2024:20:00:00,"(Timestamp('2024-12-27 20:00:00'), Timestamp('2024-12-29 20:00:00'))",Kerberoasting spn request with RC4 encryption,0,,20.221,3.5500000000000003,55259.0,526.0,142303232.0,565248.0,24.66796875
12/27/2024:20:00:00,12/29/2024:20:00:00,"(Timestamp('2024-12-27 20:00:00'), Timestamp('2024-12-29 20:00:00'))",Known Services Killed by Ransomware,6,,23.878,4.56,38253.0,532.0,185692160.0,737280.0,31.61328125
12/27/2024:20:00:00,12/29/2024:20:00:00,"(Timestamp('2024-12-27 20:00:00'), Timestamp('2024-12-29 20:00:00'))",Non Chrome Process Accessing Chrome Default Dir,0,,27.413,5.23,67996.0,544.0,222478336.0,712704.0,34.61328125
12/27/2024:20:00:00,12/29/2024:20:00:00,"(Timestamp('2024-12-27 20:00:00'), Timestamp('2024-12-29 20:00:00'))",Windows AD Replication Request Initiated from Unsanctioned Location,0,,48.796,12.17,152578.0,563.0,747872256.0,1196032.0,30.625
12/27/2024:20:00:00,12/29/2024:20:00:00,"(Timestamp('2024-12-27 20:00:00'), Timestamp('2024-12-29 20:00:00'))",Windows Event For Service Disabled,4,,23.668,5.82,57943.0,749.0,256143360.0,753664.0,37.64453125
03/26/2025:00:00:00,03/28/2025:00:00:00,"(Timestamp('2025-03-26 00:00:00'), Timestamp('2025-03-28 00:00:00'))",Clop Ransomware Known Service Name,0,,27.425,2.67,27401.0,627.0,145735680.0,720896.0,4.73828125
03/26/2025:00:00:00,03/28/2025:00:00:00,"(Timestamp('2025-03-26 00:00:00'), Timestamp('2025-03-28 00:00:00'))",Detect New Local Admin account,0,,28.027,3.5,49185.0,398.0,139218944.0,606208.0,24.12109375
03/26/2025:00:00:00,03/28/2025:00:00:00,"(Timestamp('2025-03-26 00:00:00'), Timestamp('2025-03-28 00:00:00'))",ESCU Network Share Discovery Via Dir Command Rule,0,,29.867,5.24,66988.0,474.0,243527680.0,667648.0,22.49609375
03/26/2025:00:00:00,03/28/2025:00:00:00,"(Timestamp('2025-03-26 00:00:00'), Timestamp('2025-03-28 00:00:00'))",ESCU Windows Rapid Authentication On Multiple Hosts Rule,2,,37.827,14.81,54999.0,968.0,237654016.0,1024000.0,18.03125
03/26/2025:00:00:00,03/28/2025:00:00:00,"(Timestamp('2025-03-26 00:00:00'), Timestamp('2025-03-28 00:00:00'))",Kerberoasting spn request with RC4 encryption,0,,27.611,4.2700000000000005,57624.0,523.0,177750016.0,638976.0,25.43359375
03/26/2025:00:00:00,03/28/2025:00:00:00,"(Timestamp('2025-03-26 00:00:00'), Timestamp('2025-03-28 00:00:00'))",Known Services Killed by Ransomware,3,,30.815,4.199999999999999,43815.0,561.0,230211584.0,860160.0,29.0390625
03/26/2025:00:00:00,03/28/2025:00:00:00,"(Timestamp('2025-03-26 00:00:00'), Timestamp('2025-03-28 00:00:00'))",Non Chrome Process Accessing Chrome Default Dir,0,,30.078,5.239999999999999,63905.0,540.0,226459648.0,716800.0,37.1015625
03/26/2025:00:00:00,03/28/2025:00:00:00,"(Timestamp('2025-03-26 00:00:00'), Timestamp('2025-03-28 00:00:00'))",Windows AD Replication Request Initiated from Unsanctioned Location,0,,56.999,11.9,155025.0,593.0,736935936.0,1273856.0,39.9921875
03/26/2025:00:00:00,03/28/2025:00:00:00,"(Timestamp('2025-03-26 00:00:00'), Timestamp('2025-03-28 00:00:00'))",Windows Event For Service Disabled,4,,30.954,5.930000000000001,67384.0,602.0,350654464.0,757760.0,48.60546875
12/08/2024:20:00:00,12/10/2024:20:00:00,"(Timestamp('2024-12-08 20:00:00'), Timestamp('2024-12-10 20:00:00'))",Clop Ransomware Known Service Name,0,,18.797,2.16,15496.0,358.0,140345344.0,425984.0,16.78515625
12/08/2024:20:00:00,12/10/2024:20:00:00,"(Timestamp('2024-12-08 20:00:00'), Timestamp('2024-12-10 20:00:00'))",Detect New Local Admin account,0,,24.99,2.74,35680.0,234.0,163835904.0,536576.0,19.55859375
